iter	Passed	Remaining
0	3	3750
1	11	5548
2	16	5576
3	24	6040
4	30	6141
5	36	6051
6	43	6117
7	48	6025
8	55	6067
9	60	6008
10	65	5913
11	72	5971
12	78	5943
13	83	5880
14	91	5981
15	96	5933
16	103	5969
17	109	5952
18	114	5913
19	121	5970
20	127	5947
21	134	5963
22	140	5972
23	146	5943
24	152	5953
25	158	5927
26	165	5949
27	171	5940
28	176	5923
29	184	5950
30	189	5926
31	196	5946
32	202	5946
33	208	5933
34	215	5953
35	221	5934
36	228	5943
37	234	5934
38	240	5914
39	246	5912
40	252	5899
41	259	5908
42	264	5894
43	270	5883
44	277	5896
45	286	5938
46	310	6287
47	318	6315
48	328	6379
49	334	6356
50	342	6368
51	348	6346
52	356	6363
53	361	6335
54	367	6315
55	373	6303
56	379	6281
57	386	6281
58	392	6260
59	398	6240
60	404	6228
61	409	6201
62	416	6193
63	422	6173
64	427	6154
65	434	6155
66	440	6136
67	448	6152
68	455	6151
69	463	6163
70	470	6162
71	478	6169
72	486	6174
73	492	6162
74	499	6159
75	504	6130
76	511	6130
77	517	6121
78	524	6111
79	530	6102
80	536	6083
81	542	6070
82	547	6052
83	552	6024
84	559	6019
85	564	5996
86	569	5975
87	575	5967
88	580	5941
89	585	5915
90	592	5914
91	597	5893
92	602	5872
93	608	5861
94	614	5854
95	620	5846
96	626	5828
97	630	5805
98	637	5802
99	642	5780
100	647	5760
101	653	5750
102	657	5727
103	662	5705
104	668	5696
105	672	5675
106	677	5652
107	682	5639
108	687	5620
109	691	5598
110	696	5578
111	701	5565
112	706	5545
113	712	5533
114	717	5519
115	722	5504
116	729	5504
117	734	5491
118	741	5492
119	747	5485
120	752	5468
121	757	5450
122	763	5442
123	767	5424
124	772	5405
125	778	5401
126	783	5385
127	788	5369
128	794	5363
129	799	5347
130	803	5330
131	809	5325
132	814	5309
133	819	5295
134	825	5291
135	830	5275
136	835	5260
137	841	5256
138	846	5243
139	852	5234
140	858	5229
141	862	5212
142	869	5208
143	874	5199
144	879	5187
145	886	5187
146	892	5177
147	897	5166
148	904	5168
149	910	5158
150	916	5151
151	921	5139
152	926	5126
153	931	5119
154	936	5108
155	941	5093
156	946	5084
157	952	5073
158	957	5062
159	962	5053
160	967	5042
161	972	5029
162	977	5018
163	982	5008
164	987	4995
165	992	4984
166	998	4980
167	1003	4967
168	1009	4961
169	1013	4950
170	1018	4938
171	1024	4932
172	1029	4920
173	1033	4907
174	1039	4900
175	1044	4891
176	1049	4879
177	1055	4872
178	1060	4863
179	1065	4853
180	1070	4845
181	1075	4836
182	1080	4824
183	1087	4820
184	1091	4810
185	1096	4798
186	1102	4794
187	1108	4788
188	1113	4777
189	1120	4775
190	1124	4764
191	1129	4753
192	1136	4750
193	1140	4739
194	1145	4727
195	1151	4721
196	1155	4711
197	1160	4701
198	1167	4698
199	1172	4689
200	1177	4680
201	1183	4676
202	1188	4666
203	1193	4656
204	1199	4652
205	1205	4645
206	1209	4635
207	1216	4633
208	1221	4624
209	1227	4619
210	1232	4609
211	1237	4599
212	1243	4593
213	1248	4584
214	1252	4573
215	1258	4567
216	1263	4559
217	1268	4549
218	1274	4545
219	1279	4535
220	1283	4525
221	1290	4523
222	1295	4515
223	1301	4507
224	1307	4504
225	1312	4495
226	1318	4489
227	1324	4486
228	1329	4476
229	1334	4467
230	1340	4463
231	1345	4455
232	1350	4447
233	1356	4441
234	1361	4431
235	1367	4427
236	1373	4421
237	1378	4412
238	1385	4410
239	1389	4401
240	1395	4393
241	1401	4390
242	1406	4380
243	1411	4372
244	1417	4367
245	1421	4358
246	1426	4349
247	1432	4344
248	1437	4335
249	1441	4325
250	1447	4320
251	1452	4312
252	1457	4303
253	1463	4298
254	1468	4289
255	1472	4279
256	1479	4277
257	1484	4269
258	1489	4260
259	1495	4256
260	1499	4246
261	1505	4240
262	1511	4236
263	1517	4229
264	1521	4221
265	1527	4215
266	1532	4206
267	1536	4197
268	1542	4191
269	1547	4183
270	1551	4174
271	1557	4169
272	1562	4160
273	1566	4151
274	1572	4146
275	1577	4138
276	1582	4130
277	1588	4124
278	1592	4116
279	1597	4107
280	1603	4104
281	1608	4095
282	1613	4087
283	1619	4082
284	1624	4074
285	1628	4066
286	1635	4061
287	1639	4053
288	1644	4044
289	1650	4040
290	1655	4032
291	1659	4024
292	1666	4020
293	1671	4012
294	1676	4006
295	1684	4005
296	1688	3997
297	1693	3989
298	1699	3984
299	1704	3976
300	1710	3972
301	1716	3966
302	1721	3959
303	1727	3954
304	1732	3946
305	1736	3938
306	1742	3933
307	1747	3926
308	1752	3918
309	1757	3912
310	1763	3907
311	1769	3901
312	1776	3898
313	1781	3891
314	1786	3884
315	1792	3880
316	1797	3872
317	1802	3865
318	1808	3860
319	1813	3852
320	1817	3844
321	1824	3840
322	1828	3832
323	1833	3825
324	1839	3821
325	1844	3813
326	1849	3806
327	1855	3802
328	1860	3794
329	1866	3789
330	1872	3784
331	1877	3777
332	1884	3773
333	1889	3767
334	1894	3760
335	1901	3757
336	1906	3750
337	1911	3742
338	1919	3741
339	1924	3735
340	1932	3733
341	1937	3728
342	1942	3721
343	1949	3718
344	1955	3712
345	1961	3708
346	1967	3702
347	1972	3694
348	1977	3689
349	1985	3687
350	1991	3681
351	1997	3677
352	2002	3669
353	2007	3663
354	2013	3657
355	2017	3649
356	2023	3644
357	2028	3638
358	2032	3629
359	2038	3623
360	2045	3620
361	2050	3613
362	2057	3610
363	2063	3605
364	2098	3650
365	2107	3650
366	2112	3643
367	2121	3642
368	2126	3636
369	2131	3628
370	2137	3624
371	2142	3617
372	2148	3611
373	2156	3610
374	2163	3605
375	2171	3603
376	2176	3596
377	2183	3592
378	2188	3585
379	2193	3578
380	2199	3573
381	2206	3570
382	2213	3565
383	2220	3561
384	2226	3557
385	2232	3550
386	2236	3543
387	2243	3538
388	2249	3532
389	2253	3525
390	2260	3520
391	2265	3514
392	2274	3512
393	2281	3508
394	2286	3501
395	2293	3498
396	2299	3492
397	2306	3489
398	2314	3486
399	2321	3481
400	2328	3478
401	2334	3472
402	2341	3468
403	2346	3462
404	2356	3462
405	2362	3455
406	2370	3453
407	2382	3456
408	2390	3454
409	2397	3450
410	2403	3445
411	2409	3439
412	2416	3435
413	2423	3430
414	2432	3428
415	2440	3426
416	2464	3446
417	2472	3441
418	2481	3441
419	2489	3437
420	2496	3433
421	2501	3426
422	2508	3421
423	2513	3414
424	2518	3406
425	2523	3400
426	2529	3393
427	2534	3387
428	2541	3382
429	2547	3376
430	2552	3369
431	2559	3365
432	2564	3358
433	2569	3351
434	2574	3344
435	2579	3336
436	2585	3330
437	2590	3324
438	2598	3320
439	2605	3316
440	2611	3310
441	2618	3305
442	2623	3298
443	2628	3291
444	2634	3285
445	2639	3278
446	2644	3271
447	2649	3264
448	2654	3257
449	2659	3250
450	2665	3244
451	2670	3238
452	2675	3231
453	2682	3226
454	2687	3219
455	2692	3212
456	2698	3205
457	2703	3199
458	2708	3192
459	2714	3186
460	2719	3179
461	2725	3174
462	2732	3169
463	2738	3163
464	2744	3158
465	2750	3151
466	2755	3145
467	2761	3139
468	2766	3132
469	2772	3126
470	2777	3119
471	2781	3111
472	2786	3104
473	2791	3097
474	2796	3090
475	2800	3083
476	2805	3075
477	2809	3068
478	2814	3061
479	2821	3056
480	2825	3049
481	2831	3042
482	2837	3037
483	2842	3030
484	2848	3024
485	2853	3017
486	2857	3010
487	2862	3003
488	2867	2996
489	2873	2990
490	2878	2984
491	2883	2977
492	2888	2970
493	2892	2962
494	2898	2957
495	2903	2950
496	2907	2943
497	2913	2936
498	2918	2929
499	2923	2923
500	2929	2918
501	2934	2911
502	2939	2904
503	2945	2898
504	2950	2891
505	2954	2884
506	2959	2877
507	2964	2870
508	2968	2863
509	2973	2857
510	2978	2850
511	2983	2843
512	2987	2836
513	2993	2830
514	2998	2823
515	3002	2816
516	3008	2810
517	3013	2803
518	3020	2799
519	3026	2793
520	3031	2787
521	3036	2780
522	3041	2773
523	3046	2767
524	3052	2761
525	3057	2755
526	3062	2748
527	3067	2742
528	3073	2736
529	3078	2730
530	3085	2724
531	3090	2718
532	3095	2712
533	3101	2706
534	3108	2701
535	3113	2695
536	3118	2689
537	3124	2683
538	3130	2677
539	3136	2671
540	3141	2665
541	3147	2659
542	3152	2653
543	3158	2647
544	3164	2641
545	3170	2636
546	3175	2629
547	3181	2623
548	3186	2617
549	3191	2611
550	3196	2605
551	3201	2598
552	3207	2592
553	3212	2586
554	3217	2579
555	3222	2573
556	3227	2566
557	3232	2560
558	3237	2553
559	3242	2547
560	3246	2540
561	3251	2533
562	3257	2528
563	3261	2521
564	3266	2514
565	3271	2508
566	3276	2502
567	3281	2496
568	3287	2490
569	3292	2483
570	3296	2476
571	3302	2471
572	3308	2465
573	3314	2459
574	3319	2453
575	3324	2447
576	3330	2441
577	3335	2435
578	3340	2428
579	3344	2422
580	3349	2415
581	3354	2409
582	3359	2402
583	3364	2396
584	3369	2390
585	3374	2383
586	3378	2377
587	3384	2371
588	3388	2364
589	3393	2358
590	3399	2352
591	3404	2346
592	3408	2339
593	3414	2333
594	3419	2327
595	3423	2320
596	3428	2314
597	3432	2307
598	3437	2301
599	3443	2295
600	3447	2288
601	3452	2282
602	3457	2276
603	3462	2270
604	3468	2264
605	3473	2258
606	3479	2252
607	3483	2246
608	3489	2240
609	3494	2234
610	3499	2228
611	3505	2222
612	3510	2216
613	3514	2209
614	3520	2203
615	3524	2197
616	3529	2190
617	3534	2184
618	3540	2179
619	3544	2172
620	3550	2166
621	3555	2160
622	3559	2154
